time,location,vehicle_density,avg_speed,weather_code,distance,risk_level,date,hour
2026-02-02 10:15:00,A12,85.0,17.0,1,1.92,HIGH,,
2026-02-02 10:15:00,A12,85.0,17.0,1,1.92,HIGH,,
2026-02-02 10:15:00,A12,85.0,17.0,1,1.92,HIGH,,
2026-02-02 10:15:00,A12,85.0,17.0,1,1.92,HIGH,,
2026-02-02 10:15:00,A12,85.0,17.0,1,1.92,HIGH,,
2026-02-02 10:15:00,A12,85.0,17.0,1,1.92,HIGH,,
2026-02-02 10:15:00,A12,66.0,29.0,1,71.93,HIGH,,
2026-02-02 10:15:00,A12,67.0,28.0,1,68.93,HIGH,,
2026-02-02 10:15:00,A12,67.0,28.0,1,68.93,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,21.96,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,21.96,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,79.0,20.0,1,23.92,HIGH,,
2026-02-02 10:15:00,A12,64.0,30.0,1,78.32,HIGH,,
2026-02-02 10:15:00,A12,64.0,30.0,1,78.32,HIGH,,
2026-02-02 10:15:00,A12,71.0,25.0,1,52.92,HIGH,,
2026-02-02 10:15:00,A12,71.0,25.0,1,52.92,HIGH,,
2026-02-02 10:15:00,A12,75.0,23.0,1,37.99,HIGH,,
2026-02-02 10:15:00,A12,75.0,23.0,1,37.99,HIGH,,
2026-03-12 00:09:52,A12,85.0,17.0,1,1.97,HIGH,2026-03-12,0.0
2026-03-12 00:09:53,A12,85.0,17.0,1,1.97,HIGH,2026-03-12,0.0
2026-03-12 00:11:44,A12,75.0,22.0,1,35.94,HIGH,2026-03-12,0.0
2026-03-12 00:11:45,A12,75.0,22.0,1,35.94,HIGH,2026-03-12,0.0
2026-03-12 02:04:04,A12,64.0,30.0,1,78.01,HIGH,2026-03-12,2.0
2026-03-12 02:04:05,A12,64.0,30.0,1,78.01,HIGH,2026-03-12,2.0
2026-03-12 02:04:56,A12,75.0,22.0,1,35.97,HIGH,2026-03-12,2.0
2026-03-12 02:04:56,A12,75.0,22.0,1,35.97,HIGH,2026-03-12,2.0
2026-03-12 02:05:47,A12,67.0,28.0,1,68.93,HIGH,2026-03-12,2.0
2026-03-12 02:05:48,A12,67.0,28.0,1,68.93,HIGH,2026-03-12,2.0
2026-03-12 02:09:11,A12,64.0,30.0,1,78.27,HIGH,2026-03-12,2.0
2026-03-12 02:09:12,A12,64.0,30.0,1,78.27,HIGH,2026-03-12,2.0
2026-03-12 11:28:38,A12,64.0,30.0,1,78.27,HIGH,2026-03-12,11.0
2026-03-12 11:28:40,A12,64.0,30.0,1,78.27,HIGH,2026-03-12,11.0
2026-03-12 11:30:27,A12,65.0,29.0,1,75.0,HIGH,2026-03-12,11.0
2026-03-12 11:30:28,A12,65.0,29.0,1,75.0,HIGH,2026-03-12,11.0
2026-03-22 15:43:30,A12,82.0,19.0,1,12.95,HIGH,2026-03-22,15.0
2026-03-22 15:43:30,A12,82.0,19.0,1,12.95,HIGH,2026-03-22,15.0
2026-03-23 11:08:52,A12,81.0,20.0,1,16.0,HIGH,2026-03-23,11.0
2026-03-23 11:08:53,A12,81.0,20.0,1,16.0,HIGH,2026-03-23,11.0
2026-03-23 11:09:08,A12,66.0,29.0,1,71.93,HIGH,2026-03-23,11.0
2026-03-23 11:09:10,A12,66.0,29.0,1,71.93,HIGH,2026-03-23,11.0
2026-03-23 11:11:34,A12,66.0,29.0,1,71.93,HIGH,2026-03-23,11.0
2026-03-23 11:12:49,A12,66.0,29.0,1,71.93,HIGH,2026-03-23,11.0
