avg_speed,date,distance,hour,id,location,risk_level,time,vehicle_density,weather_code
41,2026-04-12,143.0,13.0,207,A12,MEDIUM,2026-04-12T13:28:34+00:00,47,1
46,2026-04-12,167.0,13.0,206,A12,LOW,2026-04-12T13:28:20+00:00,40,1
64,2026-04-12,271.0,13.0,205,A12,LOW,2026-04-12T13:28:06+00:00,12,1
41,2026-04-12,139.0,13.0,204,A12,MEDIUM,2026-04-12T13:27:52+00:00,48,1
49,2026-04-12,184.0,13.0,203,A12,LOW,2026-04-12T13:27:37+00:00,36,1
69,2026-04-12,297.0,13.0,202,A12,LOW,2026-04-12T13:27:18+00:00,5,1
60,2026-04-12,249.0,13.0,201,A12,LOW,2026-04-12T13:22:18+00:00,18,1
45,2026-04-12,161.0,12.0,200,A12,LOW,2026-04-12T12:52:41+00:00,42,1
38,2026-04-12,123.0,12.0,199,A12,MEDIUM,2026-04-12T12:52:27+00:00,52,1
58,2026-04-12,234.0,12.0,198,A12,LOW,2026-04-12T12:51:32+00:00,22,1
21,2026-04-12,29.0,12.0,197,A12,HIGH,2026-04-12T12:51:14+00:00,77,1
34,2026-04-12,100.0,12.0,196,A12,MEDIUM,2026-04-12T12:46:02+00:00,58,1
66,2026-04-12,283.0,12.0,195,A12,LOW,2026-04-12T12:45:48+00:00,9,1
42,2026-04-12,145.0,12.0,194,A12,MEDIUM,2026-04-12T12:45:35+00:00,46,1
59,2026-04-12,240.0,12.0,193,A12,LOW,2026-04-12T12:45:21+00:00,21,1
46,2026-04-12,166.0,12.0,192,A12,LOW,2026-04-12T12:45:07+00:00,40,1
67,2026-04-12,288.0,12.0,191,A12,LOW,2026-04-12T12:44:54+00:00,8,1
26,2026-04-12,59.0,12.0,190,A12,HIGH,2026-04-12T12:44:39+00:00,69,1
29,2026-03-23,71.93,11.0,13,A12,HIGH,2026-03-23T11:12:49+00:00,66,1
29,2026-03-23,71.93,11.0,26,A12,HIGH,2026-03-23T11:12:49+00:00,66,1
29,2026-03-23,71.93,11.0,189,A12,HIGH,2026-03-23T11:12:49+00:00,66,1
29,2026-03-23,71.93,11.0,188,A12,HIGH,2026-03-23T11:11:34+00:00,66,1
29,2026-03-23,71.93,11.0,25,A12,HIGH,2026-03-23T11:11:34+00:00,66,1
29,2026-03-23,71.93,11.0,12,A12,HIGH,2026-03-23T11:11:34+00:00,66,1
29,2026-03-23,71.93,11.0,187,A12,HIGH,2026-03-23T11:09:10+00:00,66,1
29,2026-03-23,71.93,11.0,24,A12,HIGH,2026-03-23T11:09:10+00:00,66,1
29,2026-03-23,71.93,11.0,11,A12,HIGH,2026-03-23T11:09:10+00:00,66,1
29,2026-03-23,71.93,11.0,186,A12,HIGH,2026-03-23T11:09:08+00:00,66,1
29,2026-03-23,71.93,11.0,10,A12,HIGH,2026-03-23T11:09:08+00:00,66,1
29,2026-03-23,71.93,11.0,23,A12,HIGH,2026-03-23T11:09:08+00:00,66,1
20,2026-03-23,16.0,11.0,185,A12,HIGH,2026-03-23T11:08:53+00:00,81,1
20,2026-03-23,16.0,11.0,22,A12,HIGH,2026-03-23T11:08:53+00:00,81,1
20,2026-03-23,16.0,11.0,9,A12,HIGH,2026-03-23T11:08:53+00:00,81,1
20,2026-03-23,16.0,11.0,21,A12,HIGH,2026-03-23T11:08:52+00:00,81,1
20,2026-03-23,16.0,11.0,8,A12,HIGH,2026-03-23T11:08:52+00:00,81,1
20,2026-03-23,16.0,11.0,184,A12,HIGH,2026-03-23T11:08:52+00:00,81,1
48,2026-03-23,178.94,11.0,7,A12,LOW,2026-03-23T11:08:09+00:00,37,1
48,2026-03-23,178.94,11.0,20,A12,LOW,2026-03-23T11:08:09+00:00,37,1
48,2026-03-23,178.94,11.0,183,A12,LOW,2026-03-23T11:08:09+00:00,37,1
48,2026-03-23,178.94,11.0,6,A12,LOW,2026-03-23T11:08:07+00:00,37,1
48,2026-03-23,178.94,11.0,19,A12,LOW,2026-03-23T11:08:07+00:00,37,1
48,2026-03-23,178.94,11.0,182,A12,LOW,2026-03-23T11:08:07+00:00,37,1
48,2026-03-22,178.99,16.0,18,A12,LOW,2026-03-22T16:55:28+00:00,37,1
48,2026-03-22,178.99,16.0,181,A12,LOW,2026-03-22T16:55:28+00:00,37,1
48,2026-03-22,178.99,16.0,5,A12,LOW,2026-03-22T16:55:28+00:00,37,1
48,2026-03-22,178.99,16.0,180,A12,LOW,2026-03-22T16:55:27+00:00,37,1
48,2026-03-22,178.99,16.0,17,A12,LOW,2026-03-22T16:55:27+00:00,37,1
48,2026-03-22,178.99,16.0,4,A12,LOW,2026-03-22T16:55:27+00:00,37,1
70,2026-03-22,300.0,16.0,3,A12,LOW,2026-03-22T16:55:04+00:00,5,1
70,2026-03-22,300.0,16.0,179,A12,LOW,2026-03-22T16:55:04+00:00,5,1
70,2026-03-22,300.0,16.0,16,A12,LOW,2026-03-22T16:55:04+00:00,5,1
70,2026-03-22,300.0,16.0,2,A12,LOW,2026-03-22T16:55:03+00:00,5,1
70,2026-03-22,300.0,16.0,178,A12,LOW,2026-03-22T16:55:03+00:00,5,1
70,2026-03-22,300.0,16.0,15,A12,LOW,2026-03-22T16:55:03+00:00,5,1
45,2026-03-22,164.92,16.0,1,A12,LOW,2026-03-22T16:54:21+00:00,41,1
45,2026-03-22,164.92,16.0,14,A12,LOW,2026-03-22T16:54:21+00:00,41,1
45,2026-03-22,164.92,16.0,177,A12,LOW,2026-03-22T16:54:21+00:00,41,1
45,2026-03-22,164.92,16.0,176,A12,LOW,2026-03-22T16:54:20+00:00,41,1
45,2026-03-22,164.92,15.0,175,A12,LOW,2026-03-22T15:44:43+00:00,41,1
45,2026-03-22,164.92,15.0,174,A12,LOW,2026-03-22T15:44:42+00:00,41,1
66,2026-03-22,278.0,15.0,173,A12,LOW,2026-03-22T15:44:21+00:00,10,1
66,2026-03-22,278.0,15.0,172,A12,LOW,2026-03-22T15:44:20+00:00,10,1
70,2026-03-22,300.0,15.0,171,A12,LOW,2026-03-22T15:44:05+00:00,5,1
70,2026-03-22,300.0,15.0,170,A12,LOW,2026-03-22T15:44:04+00:00,5,1
33,2026-03-22,95.18,15.0,169,A12,MEDIUM,2026-03-22T15:43:43+00:00,59,1
33,2026-03-22,95.18,15.0,168,A12,MEDIUM,2026-03-22T15:43:42+00:00,59,1
19,2026-03-22,12.95,15.0,166,A12,HIGH,2026-03-22T15:43:30+00:00,82,1
19,2026-03-22,12.95,15.0,167,A12,HIGH,2026-03-22T15:43:30+00:00,82,1
70,2026-03-12,300.0,11.0,165,A12,LOW,2026-03-12T11:30:45+00:00,5,1
70,2026-03-12,300.0,11.0,164,A12,LOW,2026-03-12T11:30:44+00:00,5,1
29,2026-03-12,75.0,11.0,163,A12,HIGH,2026-03-12T11:30:28+00:00,65,1
29,2026-03-12,75.0,11.0,162,A12,HIGH,2026-03-12T11:30:27+00:00,65,1
30,2026-03-12,78.27,11.0,161,A12,HIGH,2026-03-12T11:28:40+00:00,64,1
30,2026-03-12,78.27,11.0,160,A12,HIGH,2026-03-12T11:28:38+00:00,64,1
30,2026-03-12,78.27,2.0,159,A12,HIGH,2026-03-12T02:09:12+00:00,64,1
30,2026-03-12,78.27,2.0,158,A12,HIGH,2026-03-12T02:09:11+00:00,64,1
63,2026-03-12,261.0,2.0,157,A12,LOW,2026-03-12T02:08:20+00:00,15,1
63,2026-03-12,261.0,2.0,156,A12,LOW,2026-03-12T02:08:19+00:00,15,1
47,2026-03-12,173.98,2.0,155,A12,LOW,2026-03-12T02:07:28+00:00,39,1
47,2026-03-12,173.98,2.0,154,A12,LOW,2026-03-12T02:07:27+00:00,39,1
28,2026-03-12,68.93,2.0,153,A12,HIGH,2026-03-12T02:05:48+00:00,67,1
28,2026-03-12,68.93,2.0,152,A12,HIGH,2026-03-12T02:05:47+00:00,67,1
22,2026-03-12,35.97,2.0,151,A12,HIGH,2026-03-12T02:04:56+00:00,75,1
22,2026-03-12,35.97,2.0,150,A12,HIGH,2026-03-12T02:04:56+00:00,75,1
30,2026-03-12,78.01,2.0,149,A12,HIGH,2026-03-12T02:04:05+00:00,64,1
30,2026-03-12,78.01,2.0,148,A12,HIGH,2026-03-12T02:04:04+00:00,64,1
39,2026-03-12,129.18,0.0,147,A12,MEDIUM,2026-03-12T00:12:01+00:00,50,1
39,2026-03-12,129.18,0.0,146,A12,MEDIUM,2026-03-12T00:12:00+00:00,50,1
22,2026-03-12,35.94,0.0,145,A12,HIGH,2026-03-12T00:11:45+00:00,75,1
22,2026-03-12,35.94,0.0,144,A12,HIGH,2026-03-12T00:11:44+00:00,75,1
41,2026-03-12,142.97,0.0,143,A12,MEDIUM,2026-03-12T00:11:29+00:00,47,1
41,2026-03-12,142.97,0.0,142,A12,MEDIUM,2026-03-12T00:11:28+00:00,47,1
47,2026-03-12,173.98,0.0,141,A12,LOW,2026-03-12T00:11:05+00:00,39,1
17,2026-03-12,1.97,0.0,140,A12,HIGH,2026-03-12T00:09:53+00:00,85,1
17,2026-03-12,1.97,0.0,139,A12,HIGH,2026-03-12T00:09:52+00:00,85,1
70,2026-03-12,300.0,0.0,138,A12,LOW,2026-03-12T00:09:30+00:00,5,1
70,2026-03-12,300.0,0.0,137,A12,LOW,2026-03-12T00:09:29+00:00,5,1
70,2026-03-12,300.0,0.0,136,A12,LOW,2026-03-12T00:05:32+00:00,5,1
70,2026-03-12,300.0,0.0,135,A12,LOW,2026-03-12T00:05:31+00:00,5,1
70,2026-03-12,300.0,0.0,134,A12,LOW,2026-03-12T00:05:17+00:00,5,1
70,2026-03-12,300.0,0.0,133,A12,LOW,2026-03-12T00:05:14+00:00,5,1
34,,99.87,,102,A12,MEDIUM,2026-02-02T10:15:00+00:00,58,1
34,,99.87,,103,A12,MEDIUM,2026-02-02T10:15:00+00:00,58,1
70,,300.0,,104,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,105,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,106,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,107,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,108,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,109,A12,LOW,2026-02-02T10:15:00+00:00,5,1
49,,184.89,,110,A12,LOW,2026-02-02T10:15:00+00:00,36,1
49,,184.89,,111,A12,LOW,2026-02-02T10:15:00+00:00,36,1
70,,300.0,,112,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,113,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,114,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,115,A12,LOW,2026-02-02T10:15:00+00:00,5,1
48,,181.92,,116,A12,LOW,2026-02-02T10:15:00+00:00,36,1
48,,181.92,,117,A12,LOW,2026-02-02T10:15:00+00:00,36,1
67,,285.92,,118,A12,LOW,2026-02-02T10:15:00+00:00,9,1
67,,285.92,,119,A12,LOW,2026-02-02T10:15:00+00:00,9,1
30,,78.32,,120,A12,HIGH,2026-02-02T10:15:00+00:00,64,1
30,,78.32,,121,A12,HIGH,2026-02-02T10:15:00+00:00,64,1
37,,119.92,,122,A12,MEDIUM,2026-02-02T10:15:00+00:00,53,1
37,,119.92,,123,A12,MEDIUM,2026-02-02T10:15:00+00:00,53,1
37,,119.92,,124,A12,MEDIUM,2026-02-02T10:15:00+00:00,53,1
25,,52.92,,125,A12,HIGH,2026-02-02T10:15:00+00:00,71,1
25,,52.92,,126,A12,HIGH,2026-02-02T10:15:00+00:00,71,1
23,,37.99,,127,A12,HIGH,2026-02-02T10:15:00+00:00,75,1
