id,time,location,vehicle_density,avg_speed,weather_code,distance,risk_level,date,hour
1,2026-03-22T16:54:21+00:00,A12,41,45,1,164.92,LOW,2026-03-22,16.0
2,2026-03-22T16:55:03+00:00,A12,5,70,1,300.0,LOW,2026-03-22,16.0
3,2026-03-22T16:55:04+00:00,A12,5,70,1,300.0,LOW,2026-03-22,16.0
4,2026-03-22T16:55:27+00:00,A12,37,48,1,178.99,LOW,2026-03-22,16.0
5,2026-03-22T16:55:28+00:00,A12,37,48,1,178.99,LOW,2026-03-22,16.0
6,2026-03-23T11:08:07+00:00,A12,37,48,1,178.94,LOW,2026-03-23,11.0
7,2026-03-23T11:08:09+00:00,A12,37,48,1,178.94,LOW,2026-03-23,11.0
8,2026-03-23T11:08:52+00:00,A12,81,20,1,16.0,HIGH,2026-03-23,11.0
9,2026-03-23T11:08:53+00:00,A12,81,20,1,16.0,HIGH,2026-03-23,11.0
10,2026-03-23T11:09:08+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
11,2026-03-23T11:09:10+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
12,2026-03-23T11:11:34+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
13,2026-03-23T11:12:49+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
14,2026-03-22T16:54:21+00:00,A12,41,45,1,164.92,LOW,2026-03-22,16.0
15,2026-03-22T16:55:03+00:00,A12,5,70,1,300.0,LOW,2026-03-22,16.0
16,2026-03-22T16:55:04+00:00,A12,5,70,1,300.0,LOW,2026-03-22,16.0
17,2026-03-22T16:55:27+00:00,A12,37,48,1,178.99,LOW,2026-03-22,16.0
18,2026-03-22T16:55:28+00:00,A12,37,48,1,178.99,LOW,2026-03-22,16.0
19,2026-03-23T11:08:07+00:00,A12,37,48,1,178.94,LOW,2026-03-23,11.0
20,2026-03-23T11:08:09+00:00,A12,37,48,1,178.94,LOW,2026-03-23,11.0
21,2026-03-23T11:08:52+00:00,A12,81,20,1,16.0,HIGH,2026-03-23,11.0
22,2026-03-23T11:08:53+00:00,A12,81,20,1,16.0,HIGH,2026-03-23,11.0
23,2026-03-23T11:09:08+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
24,2026-03-23T11:09:10+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
25,2026-03-23T11:11:34+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
26,2026-03-23T11:12:49+00:00,A12,66,29,1,71.93,HIGH,2026-03-23,11.0
27,2026-02-02T10:15:00+00:00,A12,5,70,1,300.0,LOW,,
28,2026-02-02T10:15:00+00:00,A12,32,51,1,198.88,LOW,,
29,2026-02-02T10:15:00+00:00,A12,59,33,1,97.94,MEDIUM,,
30,2026-02-02T10:15:00+00:00,A12,8,67,1,288.92,LOW,,
31,2026-02-02T10:15:00+00:00,A12,5,70,1,300.0,LOW,,
32,2026-02-02T10:15:00+00:00,A12,5,70,1,300.0,LOW,,
33,2026-02-02T10:15:00+00:00,A12,5,70,1,300.0,LOW,,
34,2026-02-02T10:15:00+00:00,A12,43,44,1,156.96,LOW,,
35,2026-02-02T10:15:00+00:00,A12,39,47,1,173.93,LOW,,
36,2026-02-02T10:15:00+00:00,A12,39,47,1,173.93,LOW,,
37,2026-02-02T10:15:00+00:00,A12,35,49,1,187.88,LOW,,
38,2026-02-02T10:15:00+00:00,A12,85,17,1,1.92,HIGH,,
39,2026-02-02T10:15:00+00:00,A12,85,17,1,1.92,HIGH,,
40,2026-02-02T10:15:00+00:00,A12,45,43,1,150.91,LOW,,
41,2026-02-02T10:15:00+00:00,A12,45,43,1,150.91,LOW,,
42,2026-02-02T10:15:00+00:00,A12,45,43,1,150.91,LOW,,
43,2026-02-02T10:15:00+00:00,A12,14,63,1,263.92,LOW,,
44,2026-02-02T10:15:00+00:00,A12,14,63,1,263.92,LOW,,
45,2026-02-02T10:15:00+00:00,A12,85,17,1,1.92,HIGH,,
46,2026-02-02T10:15:00+00:00,A12,85,17,1,1.92,HIGH,,
47,2026-02-02T10:15:00+00:00,A12,6,68,1,294.95,LOW,,
48,2026-02-02T10:15:00+00:00,A12,6,68,1,294.95,LOW,,
49,2026-02-02T10:15:00+00:00,A12,37,48,1,178.96,LOW,,
50,2026-02-02T10:15:00+00:00,A12,37,48,1,178.96,LOW,,
51,2026-02-02T10:15:00+00:00,A12,37,48,1,178.96,LOW,,
52,2026-02-02T10:15:00+00:00,A12,37,48,1,178.96,LOW,,
